txHash;EtherscanUrl;txType;creditAmount;creditAsset;debitAmount;debitAsset;Memo;creditAccount;debitAccount;txFeeAsset;txFeeAmount;txFeeAccount;dateTime;timestamp
0x7513fadad6ae0c9af1142c6ce3b491d6fc7f4c3a0cf1b87d22fb2436fc94702f;https://etherscan.io/tx/0x7513fadad6ae0c9af1142c6ce3b491d6fc7f4c3a0cf1b87d22fb2436fc94702f;Deposit;3,33286186;Ether;3,33286186;Ether;Deposit 3.33286186 Ether From 0x2a9aa6b8204117920821e4bf4da94f98161efdb0;0x2a9aa6b8204117920821e4bf4da94f98161efdb0;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-08-29T21:59:32Z;1598727572
0x084f86c08007e2c2c6bae930f45344ed37314d6028487d6d10ca9f55dd341e1c;https://etherscan.io/tx/0x084f86c08007e2c2c6bae930f45344ed37314d6028487d6d10ca9f55dd341e1c;Deposit;493,795583;USDC;493,795583;USDC;Deposit 493.795583 USDC From Binance 2;0xd551234ae421e3bcba99a0da6d736074f22192ff (Binance 2);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-08-29T22:16:51Z;1598728611
0xd99f5079238f9c0251959d24469eb73103859e05e6fc0fd1f1bd1f0eab1c156d;https://etherscan.io/tx/0xd99f5079238f9c0251959d24469eb73103859e05e6fc0fd1f1bd1f0eab1c156d;Fee;0;;0;;Approved  USDC For Trade On  0xbb7678acd5494ca06d9738dcbd2bdf1c6d58672f;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;Ether;0,0049547;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-29T22:19:23Z;1598728763
0x55abaead72c77d41bfbaa371c6ad4ab00d57bfdcfa943cef089fbc3c6d352296;https://etherscan.io/tx/0x55abaead72c77d41bfbaa371c6ad4ab00d57bfdcfa943cef089fbc3c6d352296;Withdrawl;1121,6828;USDC;1121,6828;USDC;Withdrawal 1121.6828 USDC To 0xbb7678acd5494ca06d9738dcbd2bdf1c6d58672f;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;0xbb7678acd5494ca06d9738dcbd2bdf1c6d58672f;Ether;0,0833844;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-29T22:19:35Z;1598728775
0x55abaead72c77d41bfbaa371c6ad4ab00d57bfdcfa943cef089fbc3c6d352296;https://etherscan.io/tx/0x55abaead72c77d41bfbaa371c6ad4ab00d57bfdcfa943cef089fbc3c6d352296;Deposit;1067,3269209033538;yDAI+y...;1067,3269209033538;yDAI+y...;Deposit 1067.3269209033538 yDAI+y... From 0xbb7678acd5494ca06d9738dcbd2bdf1c6d58672f;0xbb7678acd5494ca06d9738dcbd2bdf1c6d58672f;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-08-29T22:19:35Z;1598728775
0xaf69d4bff49854a2dd0f1140adfd93aac53ddaeccb59860e42b2dfc5ca41e3f1;https://etherscan.io/tx/0xaf69d4bff49854a2dd0f1140adfd93aac53ddaeccb59860e42b2dfc5ca41e3f1;Deposit;40,459092657318884;UNI-V2;40,459092657318884;UNI-V2;Deposit 40.459092657318884 UNI-V2 From Zapper.Fi: Uniswap V2 Zap In;0x80c5e6908368cb9db503ba968d7ec5a565bfb389 (Zapper.Fi: Uniswap V2 Zap In);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;Ether;0,0397425;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-29T22:48:47Z;1598730527
0xaf69d4bff49854a2dd0f1140adfd93aac53ddaeccb59860e42b2dfc5ca41e3f1;https://etherscan.io/tx/0xaf69d4bff49854a2dd0f1140adfd93aac53ddaeccb59860e42b2dfc5ca41e3f1;Withdrawl;4;Ether;4;Ether;Withdrawal 4 Ether To Zapper.Fi: Uniswap V2 Zap In;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;0x80c5e6908368cb9db503ba968d7ec5a565bfb389 (Zapper.Fi: Uniswap V2 Zap In);;0;;2020-08-29T22:48:47Z;1598730527
0xaf69d4bff49854a2dd0f1140adfd93aac53ddaeccb59860e42b2dfc5ca41e3f1;https://etherscan.io/tx/0xaf69d4bff49854a2dd0f1140adfd93aac53ddaeccb59860e42b2dfc5ca41e3f1;Deposit;1,26722812396e-7;Ether;1,26722812396e-7;Ether;Deposit  1.26722812396e-7 Ether From Zapper.Fi: Uniswap V2 Zap In;0x80c5e6908368cb9db503ba968d7ec5a565bfb389 (Zapper.Fi: Uniswap V2 Zap In);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-08-29T22:48:47Z;1598730527
0x00a5f0caa1832bebf90d96e87314fd9381fef6748da605f1a430086949b8622d;https://etherscan.io/tx/0x00a5f0caa1832bebf90d96e87314fd9381fef6748da605f1a430086949b8622d;Withdrawl;40,459092657318884;UNI-V2;40,459092657318884;UNI-V2;Withdrawal 40.459092657318884 UNI-V2 To SushiSwap: MasterChef LP Staking Pool;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;0xc2edad668740f1aa35e4d8f227fb8e17dca888cd (SushiSwap: MasterChef LP Staking Pool);Ether;0,00671178204473;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-29T23:26:11Z;1598732771
0x7a67501853b1076014bcdb876e583cc5c01212c33475509d9d09a6f27eb1cd85;https://etherscan.io/tx/0x7a67501853b1076014bcdb876e583cc5c01212c33475509d9d09a6f27eb1cd85;Withdrawl;1067,3269209033538;yDAI+y...;1067,3269209033538;yDAI+y...;Withdrawal 1067.3269209033538 yDAI+y... To Curve.fi: yCrv Gauge;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;0xfa712ee4788c042e2b7bb55e6cb8ec569c4530c1 (Curve.fi: yCrv Gauge);Ether;0,0212906;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-29T23:38:35Z;1598733515
